Haec	O
narrantur	O
a	O
poetis	O
de	O
Perseo	B-PERSON
.	O

Perseus	B-PERSON
filius	O
erat	O
Iouis	B-PERSON
,	O
maximi	O
deorum	O
;	O

auus	O
eius	O
Acrisius	B-PERSON
appellabatur	O
.	O

Acrisius	B-PERSON
uolebat	O
Perseum	B-PERSON
nepotem	O
suum	O
necare	O
;	O

nam	O
propter	O
oraculum	O
puerum	O
timebat	O
.	O

Comprehendit	O
igitur	O
Perseum	B-PERSON
adhuc	O
infantem	O
,	O
et	O
cum	O
matre	O
in	O
arca	O
lignea	O
inclusit	O
.	O

Tum	O
arcam	O
ipsam	O
in	O
mare	O
coniecit	O
.	O

Danae	B-PERSON
,	O
Persei	B-PERSON
mater	O
,	O
magnopere	O
territa	O
est	O
;	O

tempestas	O
enim	O
magna	O
mare	O
turbabat	O
.	O

Tranquillum	O
igitur	O
fecit	O
mare	O
,	O
et	O
arcam	O
ad	O
insulam	O
Seriphum	B-LOC
perduxit	O
.	O

Huius	O
insulae	O
Polydectes	B-PERSON
tum	O
rex	O
erat	O
.	O

Postquam	O
arca	O
ad	O
litus	O
appulsa	O
est	O
,	O
Danae	B-PERSON
in	O
harena	O
quietem	O
capiebat	O
.	O

Post	O
breue	O
tempus	O
a	O
piscatore	O
quodam	O
reperta	O
est	O
,	O
et	O
ad	O
domum	O
regis	O
Polydectis	B-PERSON
adducta	O
est	O
.	O

Ille	O
matrem	O
et	O
puerum	O
benigne	O
excepit	O
,	O
et	O
iis	O
sedem	O
tutam	O
in	O
finibus	O
suis	O
dedit	O
.	O

Danae	B-PERSON
hoc	O
donum	O
libenter	O
accepit	O
,	O
et	O
pro	O
tanto	O
beneficio	O
regi	O
gratias	O
egit	O
.	O

Perseus	B-PERSON
igitur	O
multos	O
annos	O
ibi	O
habitabat	O
,	O
et	O
cum	O
matre	O
sua	O
uitam	O
beatam	O
agebat	O
.	O

At	O
Polydectes	B-PERSON
Danaen	B-PERSON
magnopere	O
amabat	O
,	O
atque	O
eam	O
in	O
matrimonium	O
ducere	O
uolebat	O
.	O

Hoc	O
tamen	O
consilium	O
Perseo	B-PERSON
minime	O
gratum	O
erat	O
.	O

Polydectes	B-PERSON
igitur	O
Perseum	B-PERSON
dimittere	O
constituit	O
.	O

Tum	O
iuuenem	O
ad	O
se	O
uocauit	O
et	O
haec	O
dixit	O
:	O

"	O
Turpe	O
est	O
hanc	O
ignauam	O
uitam	O
agere	O
;	O

Quo	O
usque	O
hic	O
manebis	O
?	O

Tempus	O
est	O
arma	O
capere	O
et	O
uirtutem	O
praestare	O
.	O

Hinc	O
abi	O
,	O
et	O
caput	O
Medusae	B-PERSON
mihi	O
refer	O
.	O
"	O

Perseus	B-PERSON
ubi	O
haec	O
audiuit	O
,	O
ex	O
insula	O
discessit	O
,	O
et	O
postquam	O
ad	O
continentem	O
uenit	O
,	O
Medusam	B-PERSON
quaesiuit	O
.	O

Diu	O
frustra	O
quaerebat	O
;	O

namque	O
naturam	O
loci	O
ignorabat	O
.	O

Tandem	O
Apollo	B-PERSON
et	O
Minerua	B-PERSON
uiam	O
demonstrauerunt	O
.	O

Primum	O
ad	O
Graeas	B-PERSON
,	O
sorores	O
Medusae	B-PERSON
,	O
peruenit	O
.	O

Ab	O
his	O
talaria	O
et	O
galeam	O
magicam	O
accepit	O
.	O

Apollo	B-PERSON
autem	O
et	O
Minerua	B-PERSON
falcem	O
et	O
speculum	O
dederunt	O
.	O

Tum	O
postquam	O
talaria	O
pedibus	O
induit	O
,	O
in	O
aera	O
ascendit	O
.	O

Diu	O
per	O
aera	O
uolabat	O
;	O

capita	O
enim	O
earum	O
anguibus	O
omnino	O
contecta	O
erant	O
.	O

Manus	O
etiam	O
ex	O
aere	O
factae	O
erant	O
.	O

Res	O
difficillima	O
erat	O
caput	O
Gorgonis	B-PERSON
abscidere	O
;	O

eius	O
enim	O
conspectu	O
homines	O
in	O
saxum	O
uertebantur	O
.	O

hoc	O
modo	O
ad	O
locum	O
uenit	O
ubi	O
Medusa	B-PERSON
dormiebat	O
.	O

Tum	O
falce	O
sua	O
caput	O
eius	O
uno	O
ictu	O
abscidit	O
.	O

Ceterae	O
Gorgones	B-PERSON
statim	O
e	O
somno	O
excitatae	O
sunt	O
,	O
et	O
ubi	O
rem	O
uiderunt	O
,	O
ira	O
commotae	O
sunt	O
.	O

Arma	O
rapuerunt	O
,	O
et	O
Perseum	B-PERSON
occidere	O
uolebant	O
.	O

Ille	O
autem	O
dum	O
fugit	O
,	O
galeam	O
magicam	O
induit	O
;	O

et	O
ubi	O
hoc	O
fecit	O
,	O
statim	O
e	O
conspectu	O
earum	O
euasit	O
.	O

Post	O
haec	O
Perseus	B-PERSON
in	O
finis	O
Aethiopum	B-NORP
uenit	O
.	O

Ibi	O
Cepheus	B-PERSON
quidam	O
illo	O
tempore	O
regnabat	O
.	O

Hic	O
Neptunum	B-PERSON
,	O
maris	O
deum	O
,	O
olim	O
offenderat	O
;	O

Hoc	O
cottidie	O
e	O
mari	O
ueniebat	O
et	O
homines	O
deuorabat	O
.	O

Cepheus	B-PERSON
igitur	O
oraculum	O
dei	O
Hammonis	B-PERSON
consuluit	O
,	O
atque	O
a	O
deo	O
iussus	O
est	O
filiam	O
monstro	O
tradere	O
.	O

Eius	O
autem	O
filia	O
,	O
nomine	O
Andromeda	B-PERSON
,	O
uirgo	O
formosissima	O
erat	O
.	O

Cepheus	B-PERSON
ubi	O
haec	O
audiuit	O
,	O
magnum	O
dolorem	O
percepit	O
.	O

Uolebat	O
tamen	O
ciuis	O
suos	O
e	O
tanto	O
periculo	O
extrahere	O
,	O
atque	O
ob	O
eam	O
causam	O
imperata	O
Hammonis	B-PERSON
facere	O
constituit	O
.	O

Ubi	O
ea	O
dies	O
uenit	O
,	O
Andromeda	B-PERSON
ad	O
litus	O
deducta	O
est	O
,	O
et	O
in	O
conspectu	O
omnium	O
ad	O
rupem	O
adligata	O
est	O
.	O

Omnes	O
fatum	O
eius	O
deplorabant	O
,	O
nec	O
lacrimas	O
tenebant	O
.	O

At	O
subito	O
,	O
dum	O
monstrum	O
exspectant	O
,	O
Perseus	B-PERSON
accurrit	O
;	O

et	O
ubi	O
lacrimas	O
uidit	O
,	O
causam	O
doloris	O
quaerit	O
.	O

Illi	O
rem	O
totam	O
exponunt	O
et	O
puellam	O
demonstrant	O
.	O

Dum	O
haec	O
geruntur	O
,	O
fremitus	O
terribilis	O
auditur	O
;	O

simul	O
monstrum	O
horribili	O
specie	O
procul	O
conspicitur	O
.	O

Eius	O
conspectus	O
timorem	O
maximum	O
omnibus	O
iniecit	O
.	O

Monstrum	O
magna	O
celeritate	O
ad	O
litus	O
contendit	O
,	O
iamque	O
ad	O
locum	O
appropinquabat	O
ubi	O
puella	O
stabat	O
.	O

At	O
Perseus	B-PERSON
ubi	O
haec	O
uidit	O
,	O
gladium	O
suum	O
eduxit	O
,	O
et	O
postquam	O
talaria	O
induit	O
,	O
in	O
aera	O
sublatus	O
est	O
.	O

Tum	O
desuper	O
in	O
monstrum	O
impetum	O
subito	O
fecit	O
,	O
et	O
gladio	O
suo	O
collum	O
eius	O
grauiter	O
uulnerauit	O
.	O

Monstrum	O
ubi	O
sensit	O
uulnus	O
,	O
fremitum	O
horribilem	O
edidit	O
,	O
et	O
sine	O
mora	O
totum	O
corpus	O
in	O
aquam	O
mersit	O
.	O

Perseus	B-PERSON
dum	O
circum	O
litus	O
uolat	O
,	O
reditum	O
eius	O
exspectabat	O
.	O

Mare	O
autem	O
interea	O
undique	O
sanguine	O
inficitur	O
.	O

Post	O
breue	O
tempus	O
belua	O
rursus	O
caput	O
sustulit	O
;	O

Tum	O
iterum	O
se	O
in	O
undas	O
mersit	O
,	O
neque	O
postea	O
uisa	O
est	O
.	O

Perseus	B-PERSON
postquam	O
ad	O
litus	O
descendit	O
,	O
primum	O
talaria	O
exuit	O
;	O

tum	O
ad	O
rupem	O
uenit	O
ubi	O
Andromeda	B-PERSON
uincta	O
erat	O
.	O

Ea	O
autem	O
omnem	O
spem	O
salutis	O
deposuerat	O
,	O
et	O
ubi	O
Perseus	B-PERSON
adiit	O
,	O
terrore	O
paene	O
exanimata	O
erat	O
.	O

Ille	O
uincula	O
statim	O
soluit	O
,	O
et	O
puellam	O
patri	O
reddidit	O
.	O

Cepheus	B-PERSON
ob	O
hanc	O
rem	O
maximo	O
gaudio	O
adfectus	O
est	O
.	O

praeterea	O
Andromedam	B-PERSON
ipsam	O
ei	O
in	O
matrimonium	O
dedit	O
.	O

Ille	O
libenter	O
hoc	O
donum	O
accepit	O
et	O
puellam	O
duxit	O
.	O

Paucos	O
annos	O
cum	O
uxore	O
sua	O
in	O
ea	O
regione	O
habitabat	O
,	O
et	O
in	O
magno	O
honore	O
erat	O
apud	O
omnis	O
Aethiopes	B-NORP
.	O

Magnopere	O
tamen	O
matrem	O
suam	O
rursus	O
uidere	O
cupiebat	O
.	O

Tandem	O
igitur	O
cum	O
uxore	O
sua	O
e	O
regno	O
Cephei	B-PERSON
discessit	O
.	O

Postquam	O
Perseus	B-PERSON
ad	O
insulam	O
nauem	O
appulit	O
,	O
se	O
ad	O
locum	O
contulit	O
ubi	O
mater	O
olim	O
habitauerat	O
,	O
sed	O
domum	O
inuenit	O
uacuam	O
et	O
omnino	O
desertam	O
.	O

Tris	O
dies	O
per	O
totam	O
insulam	O
matrem	O
quaerebat	O
;	O

Huc	O
Danae	B-PERSON
refugerat	O
,	O
quod	O
Polydectem	B-PERSON
timebat	O
.	O

Perseus	B-PERSON
ubi	O
haec	O
cognouit	O
,	O
ira	O
magna	O
commotus	O
est	O
;	O

ad	O
regiam	O
Polydectis	B-PERSON
sine	O
mora	O
contendit	O
,	O
et	O
ubi	O
eo	O
uenit	O
,	O
statim	O
in	O
atrium	O
inrupit	O
.	O

Polydectes	B-PERSON
magno	O
timore	O
adfectus	O
est	O
et	O
fugere	O
uolebat	O
.	O

Dum	O
tamen	O
ille	O
fugit	O
,	O
Perseus	B-PERSON
caput	O
Medusae	B-PERSON
monstrauit	O
;	O

ille	O
autem	O
simul	O
atque	O
hoc	O
uidit	O
,	O
in	O
saxum	O
uersus	O
est	O
.	O

Post	O
haec	O
Perseus	B-PERSON
cum	O
uxore	O
sua	O
ad	O
urbem	O
Acrisi	B-PERSON
rediit	O
.	O

Ille	O
autem	O
ubi	O
Perseum	B-PERSON
uidit	O
,	O
magno	O
terrore	O
adfectus	O
est	O
;	O

nam	O
propter	O
oraculum	O
istud	O
nepotem	O
suum	O
adhuc	O
timebat	O
.	O

In	O
Thessaliam	B-LOC
igitur	O
ad	O
urbem	O
Larisam	B-LOC
statim	O
refugit	O
,	O
frustra	O
tamen	O
;	O

neque	O
enim	O
fatum	O
suum	O
uitauit	O
.	O

Post	O
paucos	O
annos	O
